"","palabra","freq","magrado","mactivacion","mimag"
"3195","gmailcom",1,NA,NA,NA
"3196","goberandor",1,NA,NA,NA
"3197","gobernadores",1,NA,NA,NA
"3198","gobernante",1,NA,NA,NA
"3199","gobernantes",1,NA,NA,NA
"3200","golpe",1,1.2,2.4,3
"3201","golpeada",1,NA,NA,NA
"3202","goma",1,NA,NA,NA
"3203","goulu",1,NA,NA,NA
"3204","graduación",1,NA,NA,NA
"3205","gráfica",1,NA,NA,NA
"3206","graficó",1,NA,NA,NA
"3207","gratuita",1,NA,NA,NA
"3208","gremial",1,NA,NA,NA
"3209","gremialista",1,NA,NA,NA
"3210","grotto",1,NA,NA,NA
"3211","grueso",1,1.8333,2.1667,3
"3212","guardarse",1,NA,NA,NA
"3213","guardias",1,NA,NA,NA
"3214","gucht",1,NA,NA,NA
"3215","güemes",1,NA,NA,NA
"3216","guido",1,NA,NA,NA
"3217","habíapersonas",1,NA,NA,NA
"3218","habilitadas",1,NA,NA,NA
"3219","habitabilidad",1,NA,NA,NA
"3220","habitacional",1,NA,NA,NA
"3221","habitan",1,NA,NA,NA
"3222","habitantes",1,NA,NA,NA
"3223","habitualmente",1,NA,NA,NA
"3224","hablando",1,NA,NA,NA
"3225","hacedías",1,NA,NA,NA
"3226","hacienda",1,NA,NA,NA
"3227","haga",1,NA,NA,NA
"3228","hallaban",1,NA,NA,NA
"3229","hará",1,NA,NA,NA
"3230","harían",1,NA,NA,NA
"3231","hastaaños",1,NA,NA,NA
"3232","hastapersonas",1,NA,NA,NA
"3233","hastapor",1,NA,NA,NA
"3234","hecker",1,NA,NA,NA
"3235","hegemónico",1,NA,NA,NA
"3236","hematológicas",1,NA,NA,NA
"3237","herido",1,1.2,1.2,3
"3238","heroica",1,NA,NA,NA
"3239","hiciéramos",1,NA,NA,NA
"3240","hicieronmakers",1,NA,NA,NA
"3241","hídrica",1,NA,NA,NA
"3242","hidrocarburífero",1,NA,NA,NA
"3243","hija",1,NA,NA,NA
"3244","hijo",1,2.6,2.2,3
"3245","hipercentralismo",1,NA,NA,NA
"3246","hiperpersonalización",1,NA,NA,NA
"3247","hipertensión",1,NA,NA,NA
"3248","historia",1,2.4,2,2
"3249","hito",1,NA,NA,NA
"3250","homenaje",1,3,2.8,3
"3251","homenajear",1,NA,NA,NA
"3252","homenajeó",1,NA,NA,NA
"3253","hongos",1,NA,NA,NA
"3254","horario",1,NA,NA,NA
"3255","horarios",1,NA,NA,NA
"3256","horticultores",1,NA,NA,NA
"3257","hospitalarias",1,NA,NA,NA
"3258","hospitalización",1,NA,NA,NA
"3259","hospitalizaciones",1,NA,NA,NA
"3260","hospitalizadas",1,NA,NA,NA
"3261","hospitalizados",1,NA,NA,NA
"3262","hotel",1,2.8333,1.6667,3
"3263","houssay",1,NA,NA,NA
